ID,GroundTruth,YEAR,MONTH,DAY
149,0.0,1961,7,18
150,0.0,1961,7,19
151,1.0,1961,7,20
152,1.0,1961,7,21
153,1.0,1961,7,22
154,1.0,1961,7,23
155,1.0,1961,7,24
156,0.0,1961,7,25
157,0.0,1961,7,26
158,0.0,1961,7,27
159,0.0,1961,7,28
160,0.0,1961,7,29
161,0.0,1961,7,30
162,0.0,1961,8,1
163,0.0,1961,8,2
164,0.0,1961,8,3
165,0.0,1961,8,4
166,0.0,1961,8,5
167,0.0,1961,8,6
168,0.0,1961,8,7
169,0.0,1961,8,8
170,0.0,1961,8,9
171,0.0,1961,8,10
172,0.0,1961,8,11
173,0.0,1961,8,12
174,0.0,1961,8,13
175,0.0,1961,8,14
176,0.0,1961,8,15
177,0.0,1961,8,16
178,0.0,1961,8,17
179,0.0,1961,8,18
180,0.0,1961,8,19
181,0.0,1961,8,20
182,0.0,1961,8,21
183,0.0,1961,8,22
184,0.0,1961,8,23
185,0.0,1961,8,24
186,0.0,1961,8,25
187,0.0,1961,8,26
188,0.0,1961,8,27
189,0.0,1961,8,28
190,0.0,1961,8,29
191,0.0,1961,8,30
192,0.0,1961,9,1
193,0.0,1961,9,2
194,0.0,1961,9,3
195,0.0,1961,9,4
196,1.0,1962,5,27
197,1.0,1962,5,28
198,1.0,1962,5,29
199,1.0,1962,5,30
200,1.0,1962,6,1
201,1.0,1962,6,2
202,1.0,1962,6,3
203,1.0,1962,6,4
204,1.0,1962,6,5
205,1.0,1962,6,6
206,1.0,1962,6,7
207,1.0,1962,6,8
208,0.0,1962,6,9
209,0.0,1962,6,10
210,0.0,1962,6,11
211,0.0,1962,6,12
212,0.0,1962,6,13
213,0.0,1962,6,14
214,0.0,1962,6,15
215,0.0,1962,6,16
216,0.0,1962,6,17
217,1.0,1962,6,18
218,1.0,1962,6,19
219,1.0,1962,6,20
220,1.0,1962,6,21
221,1.0,1962,6,22
222,0.0,1962,6,23
223,0.0,1962,6,24
224,0.0,1962,6,25
225,0.0,1962,6,26
226,0.0,1962,6,27
227,0.0,1962,6,28
228,0.0,1962,6,29
229,0.0,1962,6,30
230,0.0,1962,7,1
231,0.0,1962,7,2
232,0.0,1962,7,3
233,0.0,1962,7,4
234,0.0,1962,7,5
235,0.0,1962,7,6
236,0.0,1962,7,7
237,0.0,1962,7,8
238,0.0,1962,7,9
239,0.0,1962,7,10
240,0.0,1962,7,11
241,0.0,1962,7,12
242,0.0,1962,7,13
243,0.0,1962,7,14
244,0.0,1962,7,15
245,0.0,1962,7,16
246,0.0,1962,7,17
247,0.0,1962,7,18
248,0.0,1962,7,19
249,0.0,1962,7,20
250,0.0,1962,7,21
251,0.0,1962,7,22
252,0.0,1962,7,23
253,0.0,1962,7,24
254,0.0,1962,7,25
255,0.0,1962,7,26
256,0.0,1962,7,27
257,0.0,1962,7,28
258,0.0,1962,7,29
259,0.0,1962,7,30
260,0.0,1962,8,1
261,0.0,1962,8,2
262,0.0,1962,8,3
263,0.0,1962,8,4
264,0.0,1962,8,5
265,1.0,1962,8,6
266,1.0,1962,8,7
267,1.0,1962,8,8
268,1.0,1962,8,9
269,1.0,1962,8,10
270,0.0,1962,8,11
271,0.0,1962,8,12
272,0.0,1962,8,13
273,0.0,1962,8,14
274,0.0,1962,8,15
275,0.0,1962,8,16
276,0.0,1962,8,17
277,0.0,1962,8,18
278,0.0,1962,8,19
279,0.0,1962,8,20
280,0.0,1962,8,21
281,0.0,1962,8,22
282,0.0,1962,8,23
283,0.0,1962,8,24
284,0.0,1962,8,25
285,0.0,1962,8,26
286,0.0,1962,8,27
287,0.0,1962,8,28
288,0.0,1962,8,29
289,0.0,1962,8,30
290,0.0,1962,9,1
291,0.0,1962,9,2
292,0.0,1962,9,3
293,0.0,1962,9,4
294,0.0,1963,5,27
295,0.0,1963,5,28
296,0.0,1963,5,29
297,0.0,1963,5,30
298,0.0,1963,6,1
299,0.0,1963,6,2
300,0.0,1963,6,3
301,0.0,1963,6,4
302,0.0,1963,6,5
303,0.0,1963,6,6
304,0.0,1963,6,7
305,0.0,1963,6,8
306,0.0,1963,6,9
307,0.0,1963,6,10
308,0.0,1963,6,11
309,0.0,1963,6,12
310,1.0,1963,6,13
311,1.0,1963,6,14
312,1.0,1963,6,15
313,1.0,1963,6,16
314,1.0,1963,6,17
315,1.0,1963,6,18
316,1.0,1963,6,19
317,1.0,1963,6,20
318,1.0,1963,6,21
319,0.0,1963,6,22
320,0.0,1963,6,23
321,0.0,1963,6,24
322,0.0,1963,6,25
323,0.0,1963,6,26
324,0.0,1963,6,27
325,0.0,1963,6,28
326,0.0,1963,6,29
327,0.0,1963,6,30
328,0.0,1963,7,1
329,0.0,1963,7,2
330,0.0,1963,7,3
331,0.0,1963,7,4
332,0.0,1963,7,5
333,0.0,1963,7,6
334,0.0,1963,7,7
335,0.0,1963,7,8
336,0.0,1963,7,9
337,0.0,1963,7,10
338,0.0,1963,7,11
339,0.0,1963,7,12
340,0.0,1963,7,13
341,0.0,1963,7,14
342,0.0,1963,7,15
343,0.0,1963,7,16
344,0.0,1963,7,17
345,0.0,1963,7,18
346,0.0,1963,7,19
347,0.0,1963,7,20
348,0.0,1963,7,21
349,0.0,1963,7,22
350,0.0,1963,7,23
351,0.0,1963,7,24
352,0.0,1963,7,25
353,0.0,1963,7,26
354,0.0,1963,7,27
355,0.0,1963,7,28
356,0.0,1963,7,29
357,0.0,1963,7,30
358,0.0,1963,8,1
359,0.0,1963,8,2
360,0.0,1963,8,3
361,0.0,1963,8,4
362,0.0,1963,8,5
363,0.0,1963,8,6
364,0.0,1963,8,7
365,0.0,1963,8,8
366,0.0,1963,8,9
367,0.0,1963,8,10
368,0.0,1963,8,11
369,0.0,1963,8,12
370,0.0,1963,8,13
371,0.0,1963,8,14
372,0.0,1963,8,15
373,0.0,1963,8,16
374,0.0,1963,8,17
375,0.0,1963,8,18
376,0.0,1963,8,19
377,0.0,1963,8,20
378,0.0,1963,8,21
379,1.0,1963,8,22
380,1.0,1963,8,23
381,1.0,1963,8,24
382,1.0,1963,8,25
383,1.0,1963,8,26
384,0.0,1963,8,27
385,0.0,1963,8,28
386,0.0,1963,8,29
387,0.0,1963,8,30
388,0.0,1963,9,1
389,0.0,1963,9,2
390,0.0,1963,9,3
391,0.0,1963,9,4
392,0.0,1964,5,27
393,0.0,1964,5,28
394,0.0,1964,5,29
395,1.0,1964,5,30
396,1.0,1964,6,1
397,1.0,1964,6,2
398,1.0,1964,6,3
399,1.0,1964,6,4
400,1.0,1964,6,5
401,1.0,1964,6,6
402,1.0,1964,6,7
403,0.0,1964,6,8
404,0.0,1964,6,9
405,0.0,1964,6,10
406,0.0,1964,6,11
407,0.0,1964,6,12
408,0.0,1964,6,13
409,0.0,1964,6,14
410,0.0,1964,6,15
411,0.0,1964,6,16
412,0.0,1964,6,17
413,0.0,1964,6,18
414,0.0,1964,6,19
415,0.0,1964,6,20
416,0.0,1964,6,21
417,0.0,1964,6,22
418,0.0,1964,6,23
419,0.0,1964,6,24
420,0.0,1964,6,25
421,0.0,1964,6,26
422,0.0,1964,6,27
423,0.0,1964,6,28
424,0.0,1964,6,29
425,0.0,1964,6,30
426,0.0,1964,7,1
427,0.0,1964,7,2
428,1.0,1964,7,3
429,1.0,1964,7,4
430,1.0,1964,7,5
431,1.0,1964,7,6
432,1.0,1964,7,7
433,0.0,1964,7,8
434,0.0,1964,7,9
435,0.0,1964,7,10
436,0.0,1964,7,11
437,0.0,1964,7,12
438,0.0,1964,7,13
439,0.0,1964,7,14
440,0.0,1964,7,15
441,0.0,1964,7,16
442,0.0,1964,7,17
443,0.0,1964,7,18
444,0.0,1964,7,19
445,0.0,1964,7,20
446,0.0,1964,7,21
447,0.0,1964,7,22
448,0.0,1964,7,23
449,0.0,1964,7,24
450,0.0,1964,7,25
451,0.0,1964,7,26
452,0.0,1964,7,27
453,0.0,1964,7,28
454,0.0,1964,7,29
455,0.0,1964,7,30
456,0.0,1964,8,1
457,0.0,1964,8,2
458,0.0,1964,8,3
459,0.0,1964,8,4
460,0.0,1964,8,5
461,0.0,1964,8,6
462,0.0,1964,8,7
463,0.0,1964,8,8
464,0.0,1964,8,9
465,0.0,1964,8,10
466,0.0,1964,8,11
467,0.0,1964,8,12
468,0.0,1964,8,13
469,0.0,1964,8,14
470,0.0,1964,8,15
471,0.0,1964,8,16
472,0.0,1964,8,17
473,0.0,1964,8,18
474,0.0,1964,8,19
475,0.0,1964,8,20
476,0.0,1964,8,21
477,0.0,1964,8,22
478,0.0,1964,8,23
479,0.0,1964,8,24
480,0.0,1964,8,25
481,0.0,1964,8,26
482,0.0,1964,8,27
483,0.0,1964,8,28
484,0.0,1964,8,29
485,0.0,1964,8,30
486,0.0,1964,9,1
487,0.0,1964,9,2
488,0.0,1964,9,3
489,0.0,1964,9,4
490,0.0,1965,5,27
491,1.0,1965,5,28
492,1.0,1965,5,29
493,1.0,1965,5,30
494,1.0,1965,6,1
495,1.0,1965,6,2
496,1.0,1965,6,3
497,0.0,1965,6,4
498,0.0,1965,6,5
499,0.0,1965,6,6
500,0.0,1965,6,7
501,0.0,1965,6,8
502,0.0,1965,6,9
503,0.0,1965,6,10
504,0.0,1965,6,11
505,0.0,1965,6,12
506,0.0,1965,6,13
507,0.0,1965,6,14
508,0.0,1965,6,15
509,0.0,1965,6,16
510,0.0,1965,6,17
511,0.0,1965,6,18
512,0.0,1965,6,19
513,0.0,1965,6,20
514,0.0,1965,6,21
515,0.0,1965,6,22
516,0.0,1965,6,23
517,0.0,1965,6,24
518,0.0,1965,6,25
519,0.0,1965,6,26
520,0.0,1965,6,27
521,0.0,1965,6,28
522,0.0,1965,6,29
523,0.0,1965,6,30
524,0.0,1965,7,1
525,0.0,1965,7,2
526,0.0,1965,7,3
527,0.0,1965,7,4
528,0.0,1965,7,5
529,0.0,1965,7,6
530,0.0,1965,7,7
531,0.0,1965,7,8
532,0.0,1965,7,9
533,0.0,1965,7,10
534,0.0,1965,7,11
535,0.0,1965,7,12
536,0.0,1965,7,13
537,0.0,1965,7,14
538,0.0,1965,7,15
539,0.0,1965,7,16
540,0.0,1965,7,17
541,0.0,1965,7,18
542,0.0,1965,7,19
543,0.0,1965,7,20
544,0.0,1965,7,21
545,0.0,1965,7,22
546,0.0,1965,7,23
547,0.0,1965,7,24
548,0.0,1965,7,25
549,0.0,1965,7,26
550,0.0,1965,7,27
551,0.0,1965,7,28
552,1.0,1965,7,29
553,1.0,1965,7,30
554,1.0,1965,8,1
555,1.0,1965,8,2
556,1.0,1965,8,3
557,0.0,1965,8,4
558,0.0,1965,8,5
559,0.0,1965,8,6
560,0.0,1965,8,7
561,0.0,1965,8,8
562,0.0,1965,8,9
563,0.0,1965,8,10
564,0.0,1965,8,11
565,0.0,1965,8,12
566,0.0,1965,8,13
567,0.0,1965,8,14
568,0.0,1965,8,15
569,0.0,1965,8,16
570,0.0,1965,8,17
571,0.0,1965,8,18
572,0.0,1965,8,19
573,0.0,1965,8,20
574,0.0,1965,8,21
575,0.0,1965,8,22
576,0.0,1965,8,23
577,0.0,1965,8,24
578,0.0,1965,8,25
579,0.0,1965,8,26
580,0.0,1965,8,27
581,0.0,1965,8,28
582,0.0,1965,8,29
583,0.0,1965,8,30
584,0.0,1965,9,1
585,0.0,1965,9,2
586,0.0,1965,9,3
587,0.0,1965,9,4
588,1.0,1966,5,27
589,1.0,1966,5,28
590,1.0,1966,5,29
591,1.0,1966,5,30
592,1.0,1966,6,1
593,1.0,1966,6,2
594,1.0,1966,6,3
595,1.0,1966,6,4
596,1.0,1966,6,5
597,1.0,1966,6,6
598,1.0,1966,6,7
599,1.0,1966,6,8
600,0.0,1966,6,9
601,0.0,1966,6,10
602,0.0,1966,6,11
603,0.0,1966,6,12
604,0.0,1966,6,13
605,0.0,1966,6,14
606,0.0,1966,6,15
607,0.0,1966,6,16
608,0.0,1966,6,17
609,0.0,1966,6,18
610,0.0,1966,6,19
611,0.0,1966,6,20
612,0.0,1966,6,21
613,0.0,1966,6,22
614,0.0,1966,6,23
615,0.0,1966,6,24
616,0.0,1966,6,25
617,0.0,1966,6,26
618,0.0,1966,6,27
619,0.0,1966,6,28
620,0.0,1966,6,29
621,0.0,1966,6,30
622,0.0,1966,7,1
623,0.0,1966,7,2
624,0.0,1966,7,3
625,0.0,1966,7,4
626,0.0,1966,7,5
627,0.0,1966,7,6
628,0.0,1966,7,7
629,0.0,1966,7,8
630,0.0,1966,7,9
631,0.0,1966,7,10
632,0.0,1966,7,11
633,0.0,1966,7,12
634,0.0,1966,7,13
635,0.0,1966,7,14
636,0.0,1966,7,15
637,0.0,1966,7,16
638,0.0,1966,7,17
639,0.0,1966,7,18
640,0.0,1966,7,19
641,0.0,1966,7,20
642,0.0,1966,7,21
643,0.0,1966,7,22
644,0.0,1966,7,23
645,0.0,1966,7,24
646,0.0,1966,7,25
647,0.0,1966,7,26
648,0.0,1966,7,27
649,0.0,1966,7,28
650,0.0,1966,7,29
651,0.0,1966,7,30
652,0.0,1966,8,1
653,0.0,1966,8,2
654,1.0,1966,8,3
655,1.0,1966,8,4
656,1.0,1966,8,5
657,1.0,1966,8,6
658,1.0,1966,8,7
659,0.0,1966,8,8
660,0.0,1966,8,9
661,0.0,1966,8,10
662,1.0,1966,8,11
663,1.0,1966,8,12
664,1.0,1966,8,13
665,1.0,1966,8,14
666,1.0,1966,8,15
667,0.0,1966,8,16
668,0.0,1966,8,17
669,0.0,1966,8,18
670,0.0,1966,8,19
671,0.0,1966,8,20
672,0.0,1966,8,21
673,0.0,1966,8,22
674,0.0,1966,8,23
675,0.0,1966,8,24
676,0.0,1966,8,25
677,0.0,1966,8,26
678,0.0,1966,8,27
679,0.0,1966,8,28
680,0.0,1966,8,29
681,0.0,1966,8,30
682,0.0,1966,9,1
683,0.0,1966,9,2
684,0.0,1966,9,3
685,0.0,1966,9,4
686,0.0,1967,5,27
687,0.0,1967,5,28
688,0.0,1967,5,29
689,0.0,1967,5,30
690,0.0,1967,6,1
691,0.0,1967,6,2
692,0.0,1967,6,3
693,0.0,1967,6,4
694,0.0,1967,6,5
695,0.0,1967,6,6
696,0.0,1967,6,7
697,1.0,1967,6,8
698,1.0,1967,6,9
699,1.0,1967,6,10
700,1.0,1967,6,11
701,1.0,1967,6,12
702,1.0,1967,6,13
703,1.0,1967,6,14
704,1.0,1967,6,15
705,1.0,1967,6,16
706,1.0,1967,6,17
707,1.0,1967,6,18
708,0.0,1967,6,19
709,0.0,1967,6,20
710,0.0,1967,6,21
711,0.0,1967,6,22
712,0.0,1967,6,23
713,0.0,1967,6,24
714,0.0,1967,6,25
715,0.0,1967,6,26
716,0.0,1967,6,27
717,0.0,1967,6,28
718,0.0,1967,6,29
719,0.0,1967,6,30
720,0.0,1967,7,1
721,0.0,1967,7,2
722,0.0,1967,7,3
723,0.0,1967,7,4
724,0.0,1967,7,5
725,0.0,1967,7,6
726,0.0,1967,7,7
727,0.0,1967,7,8
728,0.0,1967,7,9
729,0.0,1967,7,10
730,0.0,1967,7,11
731,0.0,1967,7,12
732,0.0,1967,7,13
733,0.0,1967,7,14
734,0.0,1967,7,15
735,1.0,1967,7,16
736,1.0,1967,7,17
737,1.0,1967,7,18
738,1.0,1967,7,19
739,1.0,1967,7,20
740,1.0,1967,7,21
741,1.0,1967,7,22
742,0.0,1967,7,23
743,0.0,1967,7,24
744,1.0,1967,7,25
745,1.0,1967,7,26
746,1.0,1967,7,27
747,1.0,1967,7,28
748,1.0,1967,7,29
749,1.0,1967,7,30
750,1.0,1967,8,1
751,0.0,1967,8,2
752,0.0,1967,8,3
753,0.0,1967,8,4
754,0.0,1967,8,5
755,0.0,1967,8,6
756,0.0,1967,8,7
757,0.0,1967,8,8
758,0.0,1967,8,9
759,0.0,1967,8,10
760,1.0,1967,8,11
761,1.0,1967,8,12
762,1.0,1967,8,13
763,1.0,1967,8,14
764,1.0,1967,8,15
765,0.0,1967,8,16
766,0.0,1967,8,17
767,0.0,1967,8,18
768,0.0,1967,8,19
769,0.0,1967,8,20
770,0.0,1967,8,21
771,0.0,1967,8,22
772,0.0,1967,8,23
773,0.0,1967,8,24
774,0.0,1967,8,25
775,0.0,1967,8,26
776,0.0,1967,8,27
777,1.0,1967,8,28
778,1.0,1967,8,29
779,1.0,1967,8,30
780,1.0,1967,9,1
781,1.0,1967,9,2
782,1.0,1967,9,3
783,1.0,1967,9,4
784,0.0,1968,5,27
785,0.0,1968,5,28
786,0.0,1968,5,29
787,0.0,1968,5,30
788,0.0,1968,6,1
789,0.0,1968,6,2
790,0.0,1968,6,3
791,1.0,1968,6,4
792,1.0,1968,6,5
793,1.0,1968,6,6
794,1.0,1968,6,7
795,1.0,1968,6,8
796,1.0,1968,6,9
797,1.0,1968,6,10
798,1.0,1968,6,11
799,1.0,1968,6,12
800,1.0,1968,6,13
801,0.0,1968,6,14
802,0.0,1968,6,15
803,0.0,1968,6,16
804,0.0,1968,6,17
805,0.0,1968,6,18
806,0.0,1968,6,19
807,0.0,1968,6,20
808,0.0,1968,6,21
809,0.0,1968,6,22
810,0.0,1968,6,23
811,0.0,1968,6,24
812,0.0,1968,6,25
813,0.0,1968,6,26
814,0.0,1968,6,27
815,0.0,1968,6,28
816,0.0,1968,6,29
817,0.0,1968,6,30
818,0.0,1968,7,1
819,0.0,1968,7,2
820,0.0,1968,7,3
821,0.0,1968,7,4
822,0.0,1968,7,5
823,0.0,1968,7,6
824,0.0,1968,7,7
825,0.0,1968,7,8
826,0.0,1968,7,9
827,0.0,1968,7,10
828,0.0,1968,7,11
829,0.0,1968,7,12
830,0.0,1968,7,13
831,0.0,1968,7,14
832,0.0,1968,7,15
833,0.0,1968,7,16
834,0.0,1968,7,17
835,0.0,1968,7,18
836,0.0,1968,7,19
837,0.0,1968,7,20
838,0.0,1968,7,21
839,0.0,1968,7,22
840,0.0,1968,7,23
841,0.0,1968,7,24
842,0.0,1968,7,25
843,0.0,1968,7,26
844,0.0,1968,7,27
845,0.0,1968,7,28
846,0.0,1968,7,29
847,0.0,1968,7,30
848,0.0,1968,8,1
849,0.0,1968,8,2
850,0.0,1968,8,3
851,0.0,1968,8,4
852,0.0,1968,8,5
853,0.0,1968,8,6
854,0.0,1968,8,7
855,0.0,1968,8,8
856,0.0,1968,8,9
857,0.0,1968,8,10
858,0.0,1968,8,11
859,0.0,1968,8,12
860,0.0,1968,8,13
861,0.0,1968,8,14
862,0.0,1968,8,15
863,0.0,1968,8,16
864,0.0,1968,8,17
865,0.0,1968,8,18
866,0.0,1968,8,19
867,0.0,1968,8,20
868,0.0,1968,8,21
869,0.0,1968,8,22
870,0.0,1968,8,23
871,0.0,1968,8,24
872,0.0,1968,8,25
873,0.0,1968,8,26
874,0.0,1968,8,27
875,0.0,1968,8,28
876,0.0,1968,8,29
877,0.0,1968,8,30
878,0.0,1968,9,1
879,0.0,1968,9,2
880,0.0,1968,9,3
881,0.0,1968,9,4
882,0.0,1969,5,27
883,1.0,1969,5,28
884,1.0,1969,5,29
885,1.0,1969,5,30
886,1.0,1969,6,1
887,1.0,1969,6,2
888,1.0,1969,6,3
889,1.0,1969,6,4
890,1.0,1969,6,5
891,1.0,1969,6,6
892,1.0,1969,6,7
893,1.0,1969,6,8
894,0.0,1969,6,9
895,0.0,1969,6,10
896,0.0,1969,6,11
897,0.0,1969,6,12
898,0.0,1969,6,13
899,0.0,1969,6,14
900,0.0,1969,6,15
901,0.0,1969,6,16
902,1.0,1969,6,17
903,1.0,1969,6,18
904,1.0,1969,6,19
905,1.0,1969,6,20
906,1.0,1969,6,21
907,1.0,1969,6,22
908,0.0,1969,6,23
909,1.0,1969,6,24
910,1.0,1969,6,25
911,1.0,1969,6,26
912,1.0,1969,6,27
913,1.0,1969,6,28
914,1.0,1969,6,29
915,1.0,1969,6,30
916,1.0,1969,7,1
917,0.0,1969,7,2
918,0.0,1969,7,3
919,0.0,1969,7,4
920,0.0,1969,7,5
921,0.0,1969,7,6
922,0.0,1969,7,7
923,0.0,1969,7,8
924,0.0,1969,7,9
925,0.0,1969,7,10
926,0.0,1969,7,11
927,0.0,1969,7,12
928,0.0,1969,7,13
929,0.0,1969,7,14
930,0.0,1969,7,15
931,0.0,1969,7,16
932,0.0,1969,7,17
933,0.0,1969,7,18
934,1.0,1969,7,19
935,1.0,1969,7,20
936,1.0,1969,7,21
937,1.0,1969,7,22
938,1.0,1969,7,23
939,0.0,1969,7,24
940,0.0,1969,7,25
941,0.0,1969,7,26
942,0.0,1969,7,27
943,0.0,1969,7,28
944,0.0,1969,7,29
945,0.0,1969,7,30
946,0.0,1969,8,1
947,0.0,1969,8,2
948,0.0,1969,8,3
949,0.0,1969,8,4
950,0.0,1969,8,5
951,0.0,1969,8,6
952,0.0,1969,8,7
953,0.0,1969,8,8
954,0.0,1969,8,9
955,0.0,1969,8,10
956,0.0,1969,8,11
957,0.0,1969,8,12
958,0.0,1969,8,13
959,0.0,1969,8,14
960,0.0,1969,8,15
961,0.0,1969,8,16
962,0.0,1969,8,17
963,0.0,1969,8,18
964,0.0,1969,8,19
965,0.0,1969,8,20
966,0.0,1969,8,21
967,0.0,1969,8,22
968,0.0,1969,8,23
969,0.0,1969,8,24
970,0.0,1969,8,25
971,0.0,1969,8,26
972,0.0,1969,8,27
973,0.0,1969,8,28
974,0.0,1969,8,29
975,0.0,1969,8,30
976,0.0,1969,9,1
977,0.0,1969,9,2
978,0.0,1969,9,3
979,0.0,1969,9,4
980,0.0,1970,5,27
981,0.0,1970,5,28
982,0.0,1970,5,29
983,0.0,1970,5,30
984,0.0,1970,6,1
985,0.0,1970,6,2
986,0.0,1970,6,3
987,0.0,1970,6,4
988,0.0,1970,6,5
989,0.0,1970,6,6
990,0.0,1970,6,7
991,0.0,1970,6,8
992,0.0,1970,6,9
993,0.0,1970,6,10
994,0.0,1970,6,11
995,0.0,1970,6,12
996,0.0,1970,6,13
997,0.0,1970,6,14
998,0.0,1970,6,15
999,0.0,1970,6,16
1000,0.0,1970,6,17
1001,0.0,1970,6,18
1002,0.0,1970,6,19
1003,0.0,1970,6,20
1004,0.0,1970,6,21
1005,0.0,1970,6,22
1006,0.0,1970,6,23
1007,0.0,1970,6,24
1008,0.0,1970,6,25
1009,0.0,1970,6,26
1010,0.0,1970,6,27
1011,0.0,1970,6,28
1012,0.0,1970,6,29
1013,0.0,1970,6,30
1014,0.0,1970,7,1
1015,0.0,1970,7,2
1016,0.0,1970,7,3
1017,0.0,1970,7,4
1018,0.0,1970,7,5
1019,0.0,1970,7,6
1020,0.0,1970,7,7
1021,0.0,1970,7,8
1022,0.0,1970,7,9
1023,0.0,1970,7,10
1024,0.0,1970,7,11
1025,0.0,1970,7,12
1026,0.0,1970,7,13
1027,0.0,1970,7,14
1028,0.0,1970,7,15
1029,0.0,1970,7,16
1030,0.0,1970,7,17
1031,0.0,1970,7,18
1032,0.0,1970,7,19
1033,0.0,1970,7,20
1034,0.0,1970,7,21
1035,0.0,1970,7,22
1036,0.0,1970,7,23
1037,0.0,1970,7,24
1038,0.0,1970,7,25
1039,0.0,1970,7,26
1040,0.0,1970,7,27
1041,1.0,1970,7,28
1042,1.0,1970,7,29
1043,1.0,1970,7,30
1044,1.0,1970,8,1
1045,1.0,1970,8,2
1046,1.0,1970,8,3
1047,1.0,1970,8,4
1048,0.0,1970,8,5
1049,0.0,1970,8,6
1050,0.0,1970,8,7
1051,0.0,1970,8,8
1052,0.0,1970,8,9
1053,0.0,1970,8,10
1054,0.0,1970,8,11
1055,0.0,1970,8,12
1056,0.0,1970,8,13
1057,0.0,1970,8,14
1058,0.0,1970,8,15
1059,0.0,1970,8,16
1060,1.0,1970,8,17
1061,1.0,1970,8,18
1062,1.0,1970,8,19
1063,1.0,1970,8,20
1064,1.0,1970,8,21
1065,1.0,1970,8,22
1066,1.0,1970,8,23
1067,1.0,1970,8,24
